X,Y,OBJECTID_1,OBJECTID,StaType,StnType,ZipCode,State,City,Address2,Address1,Name,Code,StationNam
-9422620.1537,5371788.2363,1,1,Station Building (with waiting room),BUS,48801,MI,Alma,Transportation Center,1105 Willow Run Drive, ,AAM,"Alma, MI"
-8216400.9474,5273162.5962,2,2,Curbside Bus Stop only (no shelter),BUS,12211,NY,Albany, ,737 Albany Shaker Road,Albany Intl Airport,ABA,"Albany, NY"
-10053783.5084,5610281.9095,3,3,Curbside Bus Stop only (no shelter),BUS,54421,WI,Colby, ,1210 North Division St., ,ABB,"Abbotsford-Colby, WI"
-8478455.5495,4794767.2972,4,4,Station Building (with waiting room),TRAIN,21001,MD,Aberdeen, ,18 East Bel Air Avenue, ,ABE,"Aberdeen, MD"
-11871999.3867,4175039.2734,5,6,Station Building (with waiting room),TRAIN,87102,NM,Albuquerque, ,320 1st Street SW, ,ABQ,"Albuquerque, NM"
-13560499.2263,4581927.2388,6,7,Platform with Shelter,TRAIN,94509,CA,Antioch, ,100 I Street, ,ACA,"Antioch-Pittsburg, CA"
-10088263.0881,4521971.9435,7,8,Station Building (with waiting room),TRAIN,63621,MO,Arcadia, ,13700 Highway 21, ,ACD,"Arcadia, MO"
-10811963.1731,4051984.2427,8,10,Station Building (with waiting room),TRAIN,73401,OK,Ardmore, ,251 East Main Street, ,ADM,"Ardmore, OK"
-7770003.9757,5520688.1742,9,11,Curbside Bus Stop only (no shelter),BUS,04330,ME,Augusta, ,9 Industrial Drive, ,AGM,"Augusta, ME"
-13657744.3396,5188844.52,10,12,Curbside Bus Stop only (no shelter),BUS,97520,OR,Ashland, ,499 Stadium Street,Southern Oregon University,AHL,"Ashland, OR"
-8306520.1112,5183143.068,11,13,Curbside Bus Stop only (no shelter),BUS,12406,NY,Arkville, ,43365 State Highway 28, ,AKV,"Arkville, NY"
-9199398.9684,4647582.8889,12,14,Platform with Shelter,TRAIN,41101,KY,Ashland, ,99 15th Street, ,AKY,"Ashland, KY"
-9438846.5578,5691091.7661,13,15,Curbside Bus Stop only (no shelter),BUS,49706,MI,Alanson, ,7640 Burr Avenue, ,ALA,"Alanson, MI"
-8208827.0999,5257492.7455,14,16,Station Building (with waiting room),TRAIN,12144,NY,Rensselaer, ,525 East Street, ,ALB,"Albany-Rensselaer, NY"
-9027221.1912,5000737.8502,15,17,Platform only (no shelter),TRAIN,44601,OH,Alliance, ,820 East Main Street, ,ALC,"Alliance, OH"
-8977344.6756,4540549.3323,16,18,Platform with Shelter,TRAIN,24910,WV,Alderson, ,1 C&O Plaza on Railroad Avenue, ,ALD,"Alderson, WV"
